lemma,pythia_count,pile_count,pythia_share,pile_share,ratio,log_ratio
use,392678,1133678,0.04679776097053054,0.05268931491360565,0.88818313632023,-0.05149747690946706
more,262425,611539,0.03127474017564385,0.02842215422099704,1.1003648749657209,0.04153671871143485
time,251489,607195,0.029971432340792595,0.028220260575725013,1.062053706427287,0.026146478906715658
make,248909,570782,0.029663958473389866,0.026527914050566086,1.1182167741061744,0.048526002720642405
get,226708,452869,0.02701813392679762,0.021047737854672736,1.2836597506747938,0.10844992405482264
see,213807,468755,0.025480645413866382,0.021786062543621042,1.16958469952282,0.06803167822162225
other,204368,522855,0.024355743927659265,0.024300437821985856,1.0022759304206186,0.000987300934443945
know,182835,342656,0.02178952889402246,0.01592543022889785,1.3682223073938546,0.13615666685090494
only,176869,428975,0.021078525369633047,0.01993722985280122,1.0572444379313546,0.0241754090404327
then,175051,387267,0.02086186355143996,0.01799879059013875,1.159070296804822,0.06410977641969097
let,174156,543029,0.02075520110518979,0.02523805347569624,0.8223772536648537,-0.08492891044079089
first,166363,423471,0.01982646317934891,0.019681423539823033,1.0073693673240864,0.0031887404422949635
work,163811,399814,0.019522326237638925,0.01858193045368114,1.0506080779013727,0.021440735677545335
well,160417,381960,0.019117843173311458,0.017752140135383076,1.0769317404838585,0.03218817714137192
find,158077,403450,0.01883897152613224,0.01875091878107734,1.0046959162952462,0.0020346370221005707
just,156171,302193,0.018611822227190534,0.014044854131144145,1.3251702049307326,0.12227166266144741
new,145857,391327,0.017382641813085208,0.018187484927110305,0.955747420973782,-0.019656865224567426
need,133519,328632,0.015912249341761612,0.015273644666905463,1.041810889855246,0.01778889271975786
such,133046,379737,0.01585587913273778,0.017648823014425497,0.8984100027394331,-0.046525421361073044
case,133005,410197,0.015850992920116262,0.01906449530608894,0.8314404690825291,-0.08016884070123419
good,131771,285148,0.015703929837800383,0.013252663250927357,1.1849640740476446,0.0737051835280792
people,129189,272060,0.01539621761856246,0.012644379634601317,1.2176332934856484,0.08551651440959676
now,128947,241982,0.015367377046503754,0.011246461342130766,1.366418874258295,0.13558385226882844
high,128614,358201,0.015327691465943634,0.016647906452598053,0.9206978372677972,-0.0358828770111789
return,120374,404640,0.014345681904936469,0.018806225741913832,0.7628155751084038,-0.11758044814493725
most,120045,285503,0.014306473028046742,0.013269162386302947,1.078174538191993,0.032689071461003825
here,118683,240028,0.014144155428278325,0.011155646382908495,1.267892055985972,0.10308228076561116
study,118484,339621,0.01412043942067633,0.015784374240545962,0.8945834155657932,-0.04837915735386473
way,118339,253066,0.014103158912624626,0.011761606177350647,1.199084436255238,0.078849766008427
day,117107,267827,0.013956334182143943,0.012447644873911517,1.1212027916537388,0.04968417042815646
cell,113488,325029,0.013525036536356937,0.015106190061952627,0.8953307538756526,-0.048016497592309235
right,113057,250952,0.013473671715872219,0.011663354988099941,1.155214064016686,0.06266246752443841
even,111793,237285,0.013323033356028401,0.0110281615143585,1.2080919687911726,0.08209999721404851
value,109852,360534,0.013091712899970766,0.01675633598170018,0.7812992598303353,-0.1071825871223363
state,108132,311918,0.01288673032170228,0.014496837487560001,0.8889339024984323,-0.05113053019670914
system,103518,298486,0.012336852637905307,0.013872565976672826,0.8892985377507038,-0.05095242178230382
number,101226,284260,0.01206370143477079,0.013211392174269539,0.9131287055626138,-0.03946800430998648
very,99268,216147,0.01183035498811399,0.010045742574726792,1.1776486307619456,0.07101573146649019
set,99089,273520,0.011809022498863956,0.012712235233610793,0.9289493375359538,-0.03200797064418537
group,94525,266364,0.01126510361094688,0.012379649845589008,0.9099694863308875,-0.040973170470446546
same,93984,239144,0.011200629439526386,0.011114561212001387,1.007743735976915,0.0033501073072368793
order,88865,256785,0.010590567917342444,0.011934452049074099,0.8873945677434,-0.051883234179624683
however,88617,258474,0.010561012289778151,0.012012950752311773,0.8791355685650996,-0.05594414865783145
type,84777,267210,0.010103376766201995,0.01241896891186436,0.8135439292830354,-0.08961899130718527
function,84638,272305,0.01008681131365588,0.01265576636183236,0.7970130788820493,-0.09853455182885819
end,84629,220285,0.010085738730397498,0.01023806207383721,0.9851218577948492,-0.006510044736340932
part,84227,213511,0.01003783001152312,0.009923230685008314,1.0115485903888075,0.0049867492233707155
different,83280,225897,0.009924970417557855,0.010498887842084591,0.9453354076013462,-0.0244140752726353
much,82487,169954,0.009830463914902674,0.007898856489079734,1.24454266620661,0.09500978996065648
name,82024,221721,0.009775285465054821,0.01030480223834242,0.9486145623137379,-0.022910212718137417
file,76183,248315,0.009079178930365153,0.011540796621943785,0.7867029658162342,-0.10418921256736711
control,75439,218993,0.008990512047672273,0.010178014516357591,0.8833267071119987,-0.053878638604162185
court,73792,275040,0.008794229311388438,0.012782879418880932,0.6879693551985584,-0.16243090648044042
public,72527,213559,0.008643471775627022,0.009925461554016845,0.8708382707027866,-0.06006249328526397
second,72522,201728,0.008642875896039034,0.009375598819851704,0.9218478800243439,-0.035340738725770364
model,70533,199266,0.008405834995936697,0.00926117383028915,0.9076425029886577,-0.04208517521412016
example,63214,181055,0.00753358645503725,0.008414791423740136,0.8952790480086296,-0.04804157907316872
test,62708,186278,0.007473283440732684,0.008657537857730884,0.8632111766117543,-0.06388294516783874
information,62385,181719,0.007434789619348544,0.008445651778358144,0.8803097516286523,-0.05536448722124515
class,58570,175438,0.006980133493712338,0.008153733273304367,0.856065958959629,-0.0674927721118493
there,55567,98678,0.006622248213165673,0.004586201917162349,1.4439504262522964,0.1595522832788778
category,54722,190390,0.0065215445627953995,0.00884864896946168,0.7370102018175264,-0.13252650052304832
true,53656,165195,0.006394503034635977,0.00767767512217145,0.8328697076762271,-0.07942293336278478
analysis,53386,157094,0.006362325536884529,0.007301169500544216,0.8714118383925059,-0.05977654433873589
like,51907,118736,0.006186064354757151,0.0055184263041021175,1.120983413361658,0.049599186601397616
one,47022,95412,0.0056038899972911315,0.004434409871706907,1.2637284688197001,0.1016537692301539
all,43227,72769,0.005151617390006885,0.0033820438933702245,1.5232260586876274,0.18276436082469355
table,42935,115452,0.005116818022068282,0.005365797682768475,0.9535987610006696,-0.02063432187703701
size,41435,128786,0.0049380541456713455,0.005985514502763234,0.8250007820366445,-0.08354563977245262
code,40180,129268,0.00478848836908591,0.006007916145723896,0.7970298274708931,-0.0985254255754985
string,34275,121885,0.004084754575669974,0.005664780606349267,0.7210790425125468,-0.1420171266182754
about,32527,72446,0.0038764350717087454,0.00336703200400032,1.151291424347381,0.06118526973417925
text,24897,74122,0.002967122820436334,0.0034449265135481836,0.8613022102989,-0.06484443828321165
left,20915,51175,0.0024925643165612694,0.002378431698157474,1.0479865024050141,0.020355689166056425
out,19635,40610,0.0023400191420358844,0.0018874081340923307,1.23980558299396,0.0933535877003507
data,18918,55563,0.0022545700091181494,0.0025823703066873227,0.8730622418015342,-0.05895479374302249
before,14765,28419,0.0017596324233338343,0.0013208138823632097,1.3322334409337728,0.1245803308601955
following,13778,38659,0.0016420057926646507,0.0017967326041830932,0.9138843414105067,-0.03910876385647826
over,12955,22047,0.0015439240124815322,0.0010246660214807588,1.5067582803715758,0.1780435868064846
being,6526,12367,0.000777742038244267,0.0005747741047604002,1.3531264401142007,0.1313383802474588
after,5642,9736,0.0006723905270876731,0.00045249459723031106,1.4859636583581997,0.17200818818128952
found,5599,15380,0.000667265962630961,0.0007148076114833796,0.9334902873323362,-0.029890196386477788
through,2527,4799,0.0003011575437700372,0.00022304042441539265,1.3502374942093838,0.13041016357144403
under,1138,2756,0.000135622194226475,0.00012808906223980458,1.0588116725577015,0.024818720407414778
any,1108,1840,0.00013204691669853628,8.551664532701031e-05,1.5441077721605792,0.18867760896682506
used,600,1493,7.150555055877416e-05,6.938932145284043e-05,1.0304979074823784,0.013047114242568854
said,370,1005,4.409508951124407e-05,4.6708819866111607e-05,0.9440420382625881,-0.025008666105562034
three,101,196,1.2036767677393652e-05,9.109381784833706e-06,1.3213594469642032,0.12102097401011717
some,93,202,1.1083360336609996e-05,9.388240410900045e-06,1.1805577884160128,0.07208725069126197
two,49,59,5.8396199622998905e-06,2.7421098229856565e-06,2.1296083451324397,0.32829973997032014
