lemma,pos,n_senses,lemma_exposure,log_exposure,bin
moil,v,3,27980,4.446847710155809,0
slant,n,2,42180,4.625106575403468,0
slant,v,4,42180,4.625106575403468,0
acerb,a,4,64880,4.8121108412031,0
patter,v,2,69520,4.84210976344061,0
patter,n,2,69520,4.84210976344061,0
assort,v,2,79980,4.902981399797503,0
munition,n,3,99800,4.999130541287371,0
generative,a,3,122220,5.087142279383808,0
carib,n,2,130200,5.114610984232173,0
toasted,a,2,367240,5.564949978719754,1
comport,v,2,412780,5.615718646710097,1
blinding,a,2,425020,5.628409366956831,1
sweetness,n,4,504120,5.702533927585617,1
seasoned,a,3,508760,5.706512958650253,1
musk,n,2,540320,5.7326510432913365,1
visitation,n,3,546200,5.7373516958037145,1
leicester,n,2,548340,5.739049927710305,1
nationalism,n,4,558800,5.747256397442144,1
exquisite,a,8,560260,5.748389616935899,1
reorganization,n,2,615060,5.788917483902069,1
surrogate,a,2,695240,5.842134750896784,1
buddha,n,2,869480,5.939259596701543,2
bizarre,a,2,1057700,6.024362504353282,2
spoon,v,2,1141160,6.057346540338937,2
foolish,a,3,1245100,6.095204233121819,2
complementary,a,4,1775260,6.249261967698807,2
severely,r,3,1968300,6.294091292476962,2
determinant,n,3,2026580,6.306763752352464,2
municipal,a,3,2306920,6.3630325341999106,2
singing,n,2,2462320,6.391344492625906,2
calm,a,3,3137260,6.496550512285948,2
excessive,a,4,3165840,6.500488962050975,2
slight,a,5,3576740,6.553487371608501,2
interference,n,5,3854080,6.585920725160627,3
continuing,a,4,4046300,6.607058079006843,3
destroyed,a,3,4165840,6.619702585714583,3
dagger,n,2,4183200,6.6215086288216,3
initiative,a,2,4849100,6.685661140395248,3
rational,a,6,5006720,6.699553304229912,3
recognition,n,8,5817740,6.764754308336199,3
unlike,a,2,6758100,6.829824613767211,3
axis,n,6,12088100,7.0823580440897835,3
controller,n,3,12910240,7.110934315830079,3
zone,v,2,14139180,7.1504242233363,3
daily,r,2,16231740,7.210365077552296,3
divide,n,2,23758160,7.375812802774226,4
lock,n,6,24097020,7.381963338111077,4
forward,n,2,24575760,7.39050695717366,4
partial,a,5,32732120,7.514974134684259,4
wait,n,2,33241660,7.521682703163789,4
detail,n,5,40974880,7.612517690359336,4
plan,v,4,45084720,7.654029376820577,4
away,a,5,50487940,7.703187651050327,4
red,a,6,64232540,7.807755096016486,4
move,n,5,65985060,7.8194456159352805,4
act,n,5,71624720,7.855062937206614,4
still,n,4,87931040,7.944142209784848,4
three,a,2,99705540,7.998719289952435,5
start,n,8,106080360,8.02563498490825,5
very,a,4,116089560,8.064793165145472,5
under,a,4,131173460,8.11784597420502,5
even,r,4,138452160,8.141299735587287,5
between,r,2,156525440,8.194584933280048,5
name,n,6,186669140,8.2710725266503,5
may,n,2,199685520,8.300346573573268,5
over,a,2,201707440,8.304721917505546,5
first,n,6,208185320,8.318450102370635,5
only,r,7,208422260,8.318944100802621,5
out,r,3,306384840,8.486267272490496,5
