n,n_senses,chance,purity_k1,excess_k1,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,within,between,gap
400,2,0.49874686716791977,0.6575,0.3167125,0.629,0.25985500000000006,0.60675,0.21546625000000008,0.586875,0.17581562500000014,0.5654,0.1329730000000001,0,1,about,r,0.00820602010935545,-0.0006751421024091542,0.0088811619207263
400,2,0.49874686716791977,0.815,0.630925,0.807,0.6149650000000002,0.794,0.5890300000000002,0.7905,0.5820475,0.76975,0.5406512500000001,0,1,before,r,0.2381034791469574,-0.1893080621957779,0.4274115562438965
400,2,0.49874686716791977,0.875,0.7506250000000001,0.8425,0.6857875000000001,0.83225,0.6653387500000002,0.811625,0.6241918750000002,0.79565,0.59232175,0,1,being,n,0.18103569746017456,-0.11718696355819702,0.2982226610183716
1600,8,0.12445278298936835,0.46375,0.38752589285714284,0.381375,0.293441875,0.3491875,0.25667915178571427,0.3119375,0.21413433035714283,0.259425,0.1541575535714286,0,1,case,n,0.11720859259366989,0.017473837360739708,0.09973475337028503
1000,5,0.1991991991991992,0.525,0.40684375000000006,0.4414,0.30244825000000003,0.4026,0.25399675000000005,0.36125,0.20236093750000003,0.32106,0.152173675,0,1,cell,n,0.14355027675628662,-0.016402659937739372,0.15995293855667114
1000,5,0.1991991991991992,0.405,0.25699375,0.3558,0.19555525,0.3367,0.171704125,0.32245,0.15390943750000002,0.3083,0.13623962500000003,0,1,class,n,0.09205396473407745,0.016755755990743637,0.07529820501804352
600,3,0.332220367278798,0.6033333333333334,0.40599166666666675,0.5233333333333333,0.2861916666666666,0.5088333333333334,0.2644779166666667,0.48541666666666666,0.22941145833333332,0.44766666666666666,0.17288083333333332,0,1,code,n,0.05222845822572708,0.014176057651638985,0.038052402436733246
1200,6,0.16597164303586323,0.43416666666666665,0.3215658333333333,0.35933333333333334,0.23184066666666667,0.331,0.197869,0.3025,0.16369749999999997,0.26795,0.12227205000000001,0,1,control,n,0.06917469203472137,0.019942473620176315,0.04923221841454506
800,4,0.2490613266583229,0.4525,0.27091250000000006,0.4155,0.22164083333333331,0.39575,0.19534041666666668,0.3681875,0.1586363541666667,0.343975,0.12639337499999997,0,1,control,v,0.04621583968400955,-0.009075697511434555,0.05529153719544411
600,3,0.332220367278798,0.7183333333333334,0.5782041666666667,0.6556666666666666,0.48436083333333324,0.6331666666666667,0.45066708333333333,0.594,0.39201499999999995,0.5335333333333333,0.3014661666666666,0,1,court,n,0.057461511343717575,0.009787851944565773,0.04767365753650665
1000,5,0.1991991991991992,0.432,0.29071,0.3856,0.232768,0.3617,0.20292287500000003,0.34135,0.17751081249999998,0.31106,0.139686175,0,1,day,n,0.09775480628013611,0.015568447299301624,0.08218635618686676
400,2,0.49874686716791977,0.7375,0.4763125000000002,0.68,0.3616000000000002,0.672,0.34564000000000017,0.655375,0.31247312500000013,0.5951,0.1922245,0,1,different,a,0.028523126617074013,0.006380051840096712,0.022143075242638588
1399,7,0.14224446032880628,0.5682630450321658,0.49666666666666665,0.48334524660471767,0.39766666666666667,0.45389563974267333,0.3633333333333333,0.4208363116511794,0.32479166666666665,0.36856325947105073,0.26385,0,1,end,n,0.09576722234487534,0.021307090297341347,0.07446013391017914
400,2,0.49874686716791977,0.6775,0.35661250000000005,0.659,0.31970500000000013,0.652,0.3057400000000001,0.635875,0.273570625,0.5921,0.18623949999999997,0,1,end,v,0.04971999302506447,-0.036545280367136,0.08626527339220047
400,2,0.49874686716791977,0.8575,0.7157125000000002,0.831,0.662845,0.80775,0.6164612500000001,0.776,0.5531200000000002,0.72495,0.45127525000000007,0,1,example,n,0.07304327934980392,-0.056800078600645065,0.1298433542251587
800,4,0.2490613266583229,0.5525,0.40407916666666666,0.46375,0.28589375,0.434375,0.2467760416666667,0.4029375,0.20491177083333337,0.368425,0.15895262500000001,0,1,file,n,0.06069888547062874,0.02048354409635067,0.04021534323692322
400,2,0.49874686716791977,0.88,0.7606,0.841,0.682795,0.8275,0.6558625000000001,0.8095,0.6199525000000001,0.73905,0.47940475000000005,0,1,file,v,0.16134965419769287,-0.1566540002822876,0.31800365447998047
1400,7,0.14224446032880628,0.4742857142857143,0.3871047619047619,0.42114285714285715,0.3251490476190476,0.3960714285714286,0.29591994047619047,0.37564285714285717,0.272103630952381,0.3409285714285714,0.2316325595238095,0,1,find,v,0.19363431632518768,-0.026594413444399834,0.22022873163223267
600,3,0.332220367278798,0.52,0.2812,0.49366666666666664,0.2417658333333333,0.4656666666666667,0.19983583333333335,0.44816666666666666,0.1736295833333333,0.41126666666666667,0.11837183333333333,0,1,first,a,0.014763414859771729,-0.005452703684568405,0.020216118544340134
800,4,0.2490613266583229,0.51125,0.3491479166666666,0.4405,0.2549325,0.4205,0.22829916666666666,0.411375,0.21614770833333333,0.385825,0.18212362499999998,0,1,first,r,0.08216645568609238,0.016297750174999237,0.06586870551109314
399,2,0.49874686716791977,0.6917293233082706,0.385,0.6586466165413534,0.31900000000000006,0.6365914786967418,0.275,0.6032581453634085,0.20850000000000002,0.5742857142857143,0.15070000000000006,0,1,following,a,0.016771698370575905,-0.01902701146900654,0.03579870983958244
400,2,0.49874686716791977,0.7875,0.5760625,0.7535,0.5082325,0.72925,0.45985375,0.7065,0.4144675000000001,0.666,0.33367000000000013,0,1,following,n,0.02085849456489086,-0.00940753798931837,0.030266031622886658
400,2,0.49874686716791977,0.805,0.6109750000000002,0.762,0.5251900000000002,0.74025,0.48179875,0.71925,0.43990375,0.65965,0.32100175,0,1,found,v,0.023249339312314987,-0.0087647195905447,0.03201405704021454
