use,1133678
more,611539
time,607195
make,570782
let,543029
other,522855
see,468755
get,452869
only,428975
first,423471
case,410197
return,404640
find,403450
work,399814
new,391327
then,387267
well,381960
such,379737
value,360534
high,358201
know,342656
study,339621
need,328632
cell,325029
state,311918
just,302193
system,298486
most,285503
good,285148
number,284260
court,275040
set,273520
function,272305
people,272060
day,267827
type,267210
group,266364
however,258474
order,256785
way,253066
right,250952
file,248315
now,241982
here,240028
same,239144
even,237285
different,225897
name,221721
end,220285
control,218993
very,216147
public,213559
part,213511
second,201728
model,199266
category,190390
test,186278
information,181719
example,181055
class,175438
much,169954
true,165195
analysis,157094
code,129268
size,128786
string,121885
like,118736
table,115452
there,98678
one,95412
text,74122
all,72769
about,72446
data,55563
left,51175
out,40610
following,38659
before,28419
over,22047
found,15380
being,12367
after,9736
through,4799
under,2756
any,1840
used,1493
said,1005
some,202
three,196
two,59
times,44
made,35
each,19
between,13
