lemma,count
let,174156
good,131771
before,14765
people,129189
type,84777
after,5642
make,248909
end,84629
out,19635
analysis,53386
true,53656
just,156171
public,72527
said,370
function,84638
much,82487
here,118683
day,117107
state,108132
all,43227
file,76183
two,49
first,166363
use,392678
find,158077
well,160417
same,93984
high,128614
court,73792
only,176869
one,47022
study,118484
return,120374
over,12955
test,62708
some,93
way,118339
through,2527
string,34275
between,3
any,1108
most,120045
made,14
information,62385
found,5599
know,182835
other,204368
such,133046
see,213807
times,16
however,88617
case,133005
part,84227
category,54722
new,145857
control,75439
following,13778
system,103518
right,113057
different,83280
being,6526
left,20915
set,99089
then,175051
need,133519
even,111793
group,94525
code,40180
work,163811
very,99268
example,63214
there,55567
three,101
table,42935
cell,113488
class,58570
second,72522
more,262425
order,88865
now,128947
used,600
value,109852
model,70533
each,6
data,18918
size,41435
name,82024
get,226708
time,251489
about,32527
like,51907
under,1138
text,24897
number,101226
