lemma,pos,usable_senses,top_share,second_share,min_share,share_span,min_n_conf,total_n
order,n,11,0.223,0.196,0.003,74,267,93582
part,n,8,0.688,0.151,0.0034,204,232,94586
see,v,8,0.591,0.125,0.0054,110,266,94502
case,n,8,0.483,0.299,0.0064,76,218,88724
set,n,7,0.67,0.204,0.0084,80,431,75522
time,n,7,0.384,0.382,0.0065,59,247,95567
end,n,7,0.334,0.259,0.0088,38,557,82606
way,n,7,0.433,0.336,0.0274,16,430,95266
find,v,7,0.225,0.214,0.0454,5,1105,88615
return,n,6,0.748,0.124,0.0056,134,276,63829
get,v,6,0.475,0.277,0.0056,85,211,92069
string,n,6,0.766,0.117,0.0097,79,511,70937
work,v,6,0.318,0.276,0.0126,25,272,93463
make,v,6,0.342,0.326,0.0146,23,694,93944
right,a,6,0.376,0.265,0.0249,15,303,76134
set,v,6,0.229,0.214,0.0204,11,487,78765
control,n,6,0.346,0.213,0.0673,5,990,92534
right,n,5,0.821,0.113,0.0042,196,257,90921
cell,n,5,0.867,0.106,0.0058,148,491,96251
model,n,5,0.704,0.134,0.0068,103,256,92078
work,n,5,0.456,0.349,0.0061,75,240,96293
class,n,5,0.678,0.109,0.0101,67,439,76691
system,n,5,0.676,0.151,0.0199,34,422,95637
day,n,5,0.689,0.165,0.0266,26,583,95506
know,v,5,0.629,0.165,0.047,13,792,96815
file,n,4,0.95,0.027,0.0037,254,235,84088
type,n,4,0.917,0.039,0.0055,165,312,81781
first,r,4,0.63,0.314,0.0063,101,202,92479
value,n,4,0.823,0.098,0.018,46,759,81878
same,a,4,0.8,0.134,0.0208,38,327,95208
test,n,4,0.767,0.117,0.0201,38,294,86229
function,n,4,0.384,0.297,0.0186,21,402,76357
like,v,4,0.48,0.432,0.0237,20,431,74455
number,n,4,0.622,0.292,0.0317,20,2483,90613
just,r,4,0.698,0.134,0.051,14,1157,96699
right,r,4,0.447,0.119,0.0356,13,353,29680
return,v,4,0.41,0.269,0.0355,12,332,65276
good,n,4,0.684,0.153,0.0616,11,309,15087
control,v,4,0.529,0.217,0.0942,6,2460,62692
information,n,3,0.849,0.145,0.0053,159,378,95796
name,n,3,0.97,0.009,0.0077,126,383,74349
court,n,3,0.967,0.015,0.0084,116,596,97424
table,n,3,0.799,0.184,0.0107,74,287,81505
first,a,3,0.616,0.374,0.0104,59,274,93702
much,r,3,0.874,0.094,0.0183,48,358,94438
left,a,3,0.892,0.064,0.0205,43,463,33383
high,a,3,0.916,0.052,0.025,37,817,96603
study,n,3,0.927,0.039,0.0249,37,747,97236
well,r,3,0.518,0.432,0.0295,18,2119,95739
code,n,3,0.756,0.195,0.0485,16,3276,84111
now,r,3,0.569,0.356,0.0451,13,1289,93592
then,r,3,0.598,0.322,0.0802,7,5623,90871
state,n,3,0.495,0.354,0.1082,5,2642,91826
order,v,3,0.474,0.269,0.1162,4,1376,27734
well,n,3,0.49,0.38,0.1291,4,1136,11444
well,a,3,0.551,0.236,0.2132,3,4543,75979
other,a,2,0.997,0.003,0.0031,318,281,95849
very,r,2,0.994,0.006,0.0057,176,200,97981
however,r,2,0.99,0.007,0.0065,152,326,98256
example,n,2,0.985,0.009,0.0092,107,278,93665
use,v,2,0.984,0.009,0.0095,104,639,94224
text,n,2,0.977,0.011,0.0111,88,246,52677
about,r,2,0.951,0.021,0.0209,45,438,65324
good,a,2,0.91,0.025,0.0245,37,1280,92422
file,v,2,0.955,0.029,0.0291,33,1287,67199
more,r,2,0.959,0.041,0.0408,24,1187,97735
there,r,2,0.953,0.04,0.0405,24,1442,96247
before,r,2,0.952,0.048,0.0478,20,879,26985
group,n,2,0.952,0.048,0.0475,20,3899,91412
use,n,2,0.935,0.053,0.0527,18,774,94725
found,v,2,0.853,0.063,0.0631,14,314,13638
following,n,2,0.903,0.097,0.0966,9,671,10429
second,n,2,0.885,0.098,0.0985,9,1907,20861
test,v,2,0.873,0.101,0.1013,9,3102,49562
only,a,2,0.892,0.108,0.1081,8,249,62447
study,v,2,0.851,0.113,0.1135,8,2955,50025
function,v,2,0.839,0.151,0.1509,6,368,14129
following,a,2,0.831,0.168,0.1681,5,3552,22338
high,r,2,0.832,0.167,0.1667,5,365,3543
left,n,2,0.805,0.15,0.1496,5,962,6739
end,v,2,0.777,0.189,0.189,4,4730,47984
need,n,2,0.807,0.186,0.1855,4,3005,68290
most,a,2,0.743,0.257,0.257,3,11282,97872
most,r,2,0.755,0.232,0.2317,3,11726,97103
need,v,2,0.775,0.224,0.2245,3,6333,94447
out,r,2,0.614,0.218,0.218,3,1455,28886
over,r,2,0.511,0.192,0.1919,3,2168,18853
different,a,2,0.636,0.361,0.361,2,1491,96552
like,a,2,0.682,0.314,0.3144,2,1078,37223
new,a,2,0.648,0.327,0.3267,2,1250,86988
number,v,2,0.636,0.259,0.2588,2,414,1970
one,n,2,0.64,0.36,0.3603,2,27445,91828
only,r,2,0.681,0.307,0.3072,2,10521,94062
through,r,2,0.412,0.271,0.2714,2,249,2935
value,v,2,0.527,0.339,0.3389,2,435,7023
being,n,2,0.545,0.455,0.4555,1,5235,12045
here,r,2,0.541,0.455,0.4551,1,28732,92907
like,n,2,0.555,0.445,0.4454,1,757,2856
more,a,2,0.599,0.401,0.4014,1,25830,97113
table,v,2,0.57,0.43,0.4296,1,216,540
type,v,2,0.565,0.435,0.4351,1,4199,10168
used,a,2,0.468,0.356,0.3564,1,428,1166
very,a,2,0.503,0.497,0.4967,1,1908,8959
