lemma,pos,synset,sense_key,n,n_conf,share,share_conf
about,r,approximately.r.01,about%4:02:00::,62373,61729,0.95073546223611,0.9909460131957042
about,r,about.r.07,about%4:02:05::,1372,438,0.0209130401646216,0.007031287624612717
before,r,earlier.r.01,before%4:02:03::,25696,25264,0.9522327218825273,0.9663772329112955
before,r,ahead.r.01,before%4:02:01::,1289,879,0.04776727811747267,0.03362276708870443
being,n,organism.n.01,being%1:03:00::,6559,6369,0.5445413034454131,0.5488624612202688
being,n,being.n.01,being%1:26:00::,5486,5235,0.455458696554587,0.4511375387797311
case,n,case.n.01,case%1:11:00::,42881,22564,0.482975727881962,0.4492046744042524
case,n,lawsuit.n.01,case%1:04:00::,26556,23896,0.29910457847609395,0.4757221636041488
case,n,case.n.04,case%1:09:00::,5502,1101,0.061969927352593344,0.021918735442256775
case,n,subject.n.06,case%1:18:02::,1771,739,0.019947063130033225,0.014712030419462086
case,n,case.n.06,case%1:18:03::,1268,349,0.014281691727206173,0.006947900698771675
case,n,case.n.09,case%1:10:01::,1149,598,0.012941375232302753,0.011904998905058629
case,n,case.n.05,case%1:06:00::,808,417,0.009100636368755983,0.008301646393661285
case,n,shell.n.08,case%1:06:06::,567,218,0.006386213887480993,0.004339949433616691
cell,n,cell.n.02,cell%1:03:00::,83424,81738,0.8666708221654305,0.8831957470717898
cell,n,cell.n.01,cell%1:06:03::,10177,8598,0.10572627729643251,0.09290314215326101
cell,n,cellular_telephone.n.01,cell%1:06:04::,1200,1158,0.012466496291217353,0.012512425984354064
cell,n,cell.n.03,cell%1:06:00::,829,514,0.008612271187849322,0.005553874746077711
cell,n,cell.n.07,cell%1:06:01::,563,491,0.005848864509962809,0.005305355058996413
class,n,class.n.01,class%1:14:00::,51961,47290,0.6775371295197611,0.743343079002798
class,n,course.n.01,class%1:04:00::,8389,6427,0.10938702064127473,0.10102486717595649
class,n,class.n.02,class%1:14:03::,7578,4270,0.09881211615443794,0.06711936873211984
class,n,class.n.03,class%1:14:01::,6923,4921,0.09027134865890392,0.07735232166996762
class,n,class.n.06,class%1:14:04::,775,439,0.010105488258074611,0.006900562733817473
code,n,code.n.03,code%1:10:02::,63629,59816,0.7564884497865916,0.8045083455501607
code,n,code.n.02,code%1:10:00::,16405,11259,0.19503988776735504,0.15143037753359068
code,n,code.n.01,code%1:10:01::,4077,3276,0.04847166244605343,0.0440612769162486
control,n,control_condition.n.01,control%1:09:02::,32452,30762,0.3460476226020751,0.6498510678750238
