lemma,pos,synset,sense_key,n,n_conf,share
about,a,about.s.01,about%5:00:00:active:01,4998,4998,1.0
about,r,approximately.r.01,about%4:02:00::,62373,61729,0.95073546223611
about,r,about.r.03,about%4:02:01::,1579,117,0.02406828747808856
about,r,about.r.07,about%4:02:05::,1372,438,0.0209130401646216
after,a,after.s.01,after%5:00:00:aft:00,153,153,1.0
after,r,subsequently.r.01,after%4:02:01::,8846,3993,0.939864003399915
after,r,after.r.02,after%4:02:00::,566,187,0.060135996600085
all,a,all.a.01,all%3:00:00::,218,213,1.0
all,r,wholly.r.01,all%4:02:00::,70670,70670,1.0
analysis,n,analysis.n.01,analysis%1:04:00::,96704,86845,0.9961679508838436
any,r,any.r.01,any%4:02:00::,1802,1802,1.0
before,r,earlier.r.01,before%4:02:03::,25696,25264,0.9522327218825273
before,r,ahead.r.01,before%4:02:01::,1289,879,0.04776727811747267
being,n,organism.n.01,being%1:03:00::,6559,6369,0.5445413034454131
being,n,being.n.01,being%1:26:00::,5486,5235,0.455458696554587
case,n,case.n.01,case%1:11:00::,42881,22564,0.482975727881962
case,n,lawsuit.n.01,case%1:04:00::,26556,23896,0.29910457847609395
case,n,event.n.02,case%1:26:00::,6949,44,0.078267725404066
case,n,case.n.04,case%1:09:00::,5502,1101,0.061969927352593344
case,n,subject.n.06,case%1:18:02::,1771,739,0.019947063130033225
case,n,case.n.06,case%1:18:03::,1268,349,0.014281691727206173
case,n,case.n.09,case%1:10:01::,1149,598,0.012941375232302753
case,n,case.n.05,case%1:06:00::,808,417,0.009100636368755983
case,n,shell.n.08,case%1:06:06::,567,218,0.006386213887480993
case,n,case.n.08,case%1:10:02::,500,82,0.005631581911358901
case,n,font.n.01,case%1:10:03::,328,72,0.0036943177338514387
case,n,case.n.10,case%1:23:00::,238,57,0.002680632989806837
case,n,case.n.11,case%1:10:00::,134,42,0.0015092639522441855
case,n,case.n.20,case%1:06:01::,73,32,0.0008222109590583995
case,v,encase.v.01,case%2:35:01::,590,449,0.8753709198813057
case,v,case.v.01,case%2:39:00::,84,31,0.12462908011869436
category,n,class.n.01,category%1:14:00::,76853,75342,0.9974302734552439
cell,n,cell.n.02,cell%1:03:00::,83424,81738,0.8666708221654305
cell,n,cell.n.01,cell%1:06:03::,10177,8598,0.10572627729643251
cell,n,cellular_telephone.n.01,cell%1:06:04::,1200,1158,0.012466496291217353
cell,n,cell.n.03,cell%1:06:00::,829,514,0.008612271187849322
cell,n,cell.n.07,cell%1:06:01::,563,491,0.005848864509962809
cell,n,cell.n.04,cell%1:14:00::,58,44,0.0006025473207421721
class,n,class.n.01,class%1:14:00::,51961,47290,0.6775371295197611
class,n,course.n.01,class%1:04:00::,8389,6427,0.10938702064127473
class,n,class.n.02,class%1:14:03::,7578,4270,0.09881211615443794
class,n,class.n.03,class%1:14:01::,6923,4921,0.09027134865890392
class,n,class.n.06,class%1:14:04::,775,439,0.010105488258074611
class,n,class.n.05,class%1:14:05::,701,30,0.009140577121174583
class,n,class.n.07,class%1:14:02::,202,133,0.002633946616943318
class,n,class.n.08,class%1:07:00::,162,108,0.0021123730294297896
class,v,classify.v.01,class%2:31:00::,596,596,1.0
code,n,code.n.03,code%1:10:02::,63629,59816,0.7564884497865916
code,n,code.n.02,code%1:10:00::,16405,11259,0.19503988776735504
code,n,code.n.01,code%1:10:01::,4077,3276,0.04847166244605343
code,v,code.v.02,code%2:32:00::,857,573,0.7964684014869888
code,v,code.v.01,code%2:35:00::,219,65,0.20353159851301114
control,n,control_condition.n.01,control%1:09:02::,32452,30762,0.3460476226020751
control,n,control.n.02,control%1:24:00::,19934,2448,0.21256358033248382
control,n,control.n.09,control%1:06:00::,16281,9300,0.17361029654826773
control,n,control.n.01,control%1:07:00::,10753,1161,0.1146631975175679
control,n,control.n.03,control%1:04:02::,6805,2611,0.0725642201345717
control,n,control.n.05,control%1:04:00::,6309,990,0.06727518954136853
control,v,control.v.02,control%2:41:01::,33561,19303,0.529328265224043
control,v,control.v.01,control%2:41:00::,13742,8186,0.21674053278236047
control,v,operate.v.03,control%2:35:00::,9418,4605,0.14854186710408024
control,v,control.v.05,control%2:41:02::,5971,2460,0.0941753544784947
court,n,court.n.01,court%1:14:00::,94613,89585,0.9668792282379872
court,n,court.n.02,court%1:06:02::,1448,596,0.014797555541929814
court,n,court.n.04,court%1:06:01::,818,751,0.008359392564432726
court,n,court.n.10,court%1:06:00::,315,152,0.0032190814887485437
court,n,court.n.03,court%1:14:01::,230,61,0.0023504404521021115
court,v,woo.v.01,court%2:41:01::,207,47,0.490521327014218
court,v,woo.v.02,court%2:41:00::,184,81,0.43601895734597157
data,n,datum.n.01,datum%1:09:00::,46513,41542,0.9977048477048477
day,n,day.n.01,day%1:28:00::,65965,53275,0.6885340013569229
day,n,day.n.02,day%1:28:03::,15854,8736,0.16548196858201555
day,n,day.n.03,day%1:28:01::,5969,2948,0.06230363759720265
day,n,day.n.04,day%1:28:02::,5174,2476,0.054005532070351234
day,n,day.n.05,day%1:28:04::,2544,583,0.026553937685924536
different,a,different.a.01,different%3:00:00::,61575,1491,0.6355735386711533
different,a,different.s.02,different%5:00:00:other:00,34977,1703,0.36103054262445683
end,n,end.n.01,end%1:15:00::,27856,18741,0.33354487217865053
end,n,end.n.05,end%1:09:00::,21672,6658,0.2594982937196911
end,n,end.n.02,end%1:28:00::,10960,4598,0.13123391007603424
end,n,end.n.03,end%1:11:00::,8535,68,0.10219721008202119
end,n,end.n.06,end%1:26:00::,7116,557,0.08520625037418428
end,n,goal.n.01,end%1:09:02::,4176,2923,0.05000299347422619
end,n,end.n.10,end%1:15:03::,1553,712,0.018595461893073102
end,n,end.n.08,end%1:18:00::,738,655,0.008836735915703766
end,v,end.v.01,end%2:42:00::,37335,31686,0.7773914129846333
end,v,end.v.02,end%2:30:01::,9076,4730,0.1889809686419856
end,v,end.v.03,end%2:42:01::,1573,83,0.03275309207512597
even,a,even.a.01,even%3:00:02::,703,172,0.4538411878631375
even,a,even.s.02,even%5:00:01:equal:00,673,200,0.43447385409941897
even,n,evening.n.01,even%1:28:00::,39,39,1.0
even,r,even.r.01,even%4:02:00::,90749,83201,0.9283500250631694
example,n,example.n.01,example%1:09:00::,92733,82124,0.985012321549966
example,n,exemplar.n.01,example%1:09:01::,867,278,0.009209296397008838
example,n,example.n.04,example%1:10:00::,65,40,0.0006904316791298436
file,n,file.n.01,file%1:10:00::,79904,63733,0.9502426029873466
file,n,file.n.02,file%1:14:00::,2290,235,0.02723337455998478
file,n,file.n.03,file%1:06:01::,1580,256,0.018789839216059367
file,n,file.n.04,file%1:06:00::,314,260,0.0037341832366092663
file,v,file.v.01,file%2:32:02::,64196,61398,0.9553118349975446
file,v,file.v.05,file%2:32:00::,1954,1287,0.029077813657941338
file,v,charge.v.06,file%2:32:01::,764,41,0.011369216803821485
file,v,file.v.02,file%2:35:00::,156,108,0.00232146311701067
file,v,file.v.03,file%2:38:00::,129,110,0.0019196714236819
find,n,discovery.n.01,find%1:04:00::,1502,1254,0.9772283669486012
find,v,detect.v.01,find%2:39:02::,21555,3619,0.22469977483112336
find,v,determine.v.01,find%2:32:00::,20553,5638,0.21425444083062298
find,v,find.v.01,find%2:40:02::,16272,2448,0.16962722041531147
find,v,rule.v.04,find%2:32:01::,10064,7271,0.10491201734634309
find,v,find.v.03,find%2:40:00::,9279,2426,0.09672879659744808
find,v,find.v.05,find%2:31:10::,4509,3402,0.04700400300225169
find,v,line_up.v.02,find%2:40:01::,4356,1105,0.045409056792594445
find,v,witness.v.02,find%2:39:01::,2027,161,0.02113043115670086
first,a,first.s.02,first%5:00:00:ordinal:00,57704,17382,0.615745779712743
first,a,first.a.01,first%3:00:00::,35019,5695,0.3736794929252833
first,a,first.s.05,first%5:00:00:best:00,979,274,0.010446678191092046
first,n,first.n.01,first%1:24:00::,195,70,0.8863636363636364
first,r,first.r.01,first%4:02:00::,58228,51385,0.6296348360168255
first,r,first.r.02,first%4:02:02::,29014,24609,0.3137360914369749
first,r,first.r.03,first%4:02:03::,4658,944,0.05036819169757458
first,r,foremost.r.01,first%4:02:01::,579,202,0.006260880848625093
following,a,following.s.01,following%5:00:01:succeeding:00,18580,17222,0.8310596233841749
following,a,following.s.02,following%5:00:02:succeeding:00,3758,3552,0.1680905309299101
following,n,pursuit.n.01,following%1:04:01::,9422,3128,0.9034423242880429
following,n,following.n.01,following%1:14:00::,1007,671,0.09655767571195704
found,n,found.n.01,found%1:21:00::,38,38,1.0
found,v,establish.v.01,found%2:41:00::,12699,10661,0.8527969914713586
found,v,establish.v.08,found%2:31:00::,939,314,0.06305822308777113
function,n,function.n.01,function%1:24:00::,29394,24970,0.38396426052198446
function,n,function.n.02,function%1:07:00::,22740,13364,0.29704522297985736
function,n,routine.n.03,function%1:10:00::,22374,16160,0.292264284034799
function,n,function.n.03,function%1:04:00::,1427,402,0.01864043681584241
function,n,function.n.04,function%1:24:01::,422,55,0.00551244872900175
function,v,function.v.01,function%2:35:00::,11976,7101,0.839301983320485
function,v,serve.v.01,function%2:42:12::,2153,368,0.15088653724858084
get,n,get.n.01,get%1:04:00::,4408,4408,1.0
get,v,get.v.01,get%2:40:00::,44654,32291,0.4754117559381222
get,v,become.v.01,get%2:30:00::,26028,19761,0.2771088185505765
get,v,get.v.03,get%2:30:02::,13119,8084,0.1396722987000543
get,v,arrive.v.01,get%2:38:00::,5087,3213,0.054159080988427186
get,v,experience.v.03,get%2:39:00::,840,46,0.008943115398128334
get,v,bring.v.04,get%2:35:03::,736,226,0.007835872539312444
get,v,catch.v.18,get%2:31:09::,525,211,0.005589447123830208
get,v,scram.v.01,get%2:38:15::,376,107,0.004003108797257445
get,v,pay_back.v.02,get%2:33:00::,273,140,0.0029065125043917085
get,v,drive.v.11,get%2:32:08::,266,106,0.002831986542740639
get,v,get.v.14,get%2:32:03::,165,31,0.0017566833817752084
good,a,good.a.01,good%3:00:01::,88797,42893,0.9097027998893568
good,a,full.s.06,good%5:00:00:ample:00,2393,1280,0.024515679585292643
good,a,dear.s.02,good%5:00:00:close:02,1232,152,0.01262152831135835
good,n,commodity.n.01,good%1:06:00::,10321,9747,0.6840988930867634
good,n,good.n.01,good%1:07:00::,2312,554,0.1532445151454895
good,n,good.n.03,good%1:07:02::,1524,478,0.10101411811493338
good,n,good.n.02,good%1:07:01::,930,309,0.06164247365281368
good,r,well.r.01,good%4:02:00::,403,394,0.9805352798053528
group,n,group.n.01,group%1:03:00::,87067,85869,0.952176290463692
group,n,group.n.02,group%1:27:00::,4345,3899,0.0475174978127734
group,v,group.v.01,group%2:31:00::,4002,2311,0.9300488031605857
here,a,here.s.01,here%5:00:00:present:02,44,44,1.0
here,n,here.n.01,here%1:15:00::,302,297,1.0
here,r,here.r.02,here%4:02:02::,50463,35919,0.541134964720012
here,r,here.r.01,here%4:02:00::,42444,28732,0.45514401527012244
high,a,high.a.01,high%3:00:02::,88591,77988,0.9156976443714017
high,a,high.a.02,high%3:00:01::,5039,3248,0.052084302355628595
high,a,eminent.s.01,high%5:00:00:superior:01,2419,817,0.025003359277290253
high,a,high.a.04,high%3:00:03::,362,92,0.003741718089449802
high,a,high.s.07,high%5:00:00:intoxicated:00,192,134,0.0019845576607026576
high,n,high.n.01,high%1:07:00::,1309,892,0.6531936127744511
high,n,high.n.03,high%1:26:02::,286,150,0.14271457085828343
high,n,high.n.02,high%1:26:00::,261,134,0.13023952095808383
high,n,high.n.04,high%1:26:01::,70,57,0.03493013972055888
high,r,high.r.02,high%4:02:02::,2952,2677,0.8324873096446701
high,r,high.r.01,high%4:02:00::,591,365,0.16666666666666666
however,r,however.r.01,however%4:02:00::,97324,93281,0.9899604316912655
however,r,however.r.03,however%4:02:02::,641,326,0.00652012490972526
however,r,however.r.04,however%4:02:01::,291,79,0.0029599943037910306
information,n,information.n.01,information%1:10:00::,81379,51663,0.8490599503369989
information,n,information.n.02,information%1:09:00::,13906,1284,0.14508691025186235
information,n,information.n.03,information%1:10:02::,511,378,0.005331469231892828
just,a,just.a.01,just%3:00:00::,1124,489,0.9469250210614996
just,r,merely.r.01,just%4:02:00::,67738,60635,0.6983226977041473
just,r,precisely.r.01,just%4:02:05::,13009,8640,0.13411201946371687
just,r,just.r.03,just%4:02:01::,11003,9062,0.11343182029051246
just,r,just.r.04,just%4:02:03::,4949,1157,0.051020092576365195
know,n,know.n.01,know%1:09:00::,1000,1000,1.0
know,v,know.v.01,know%2:31:01::,60944,35020,0.6290084529719576
know,v,know.v.02,know%2:31:03::,15948,5159,0.16460072866888914
know,v,acknowledge.v.06,know%2:31:06::,7679,1282,0.07925564305545521
know,v,know.v.04,know%2:31:00::,7466,4264,0.07705725108113408
know,v,know.v.03,know%2:31:02::,4551,792,0.04697127640908669
know,v,know.v.05,know%2:31:04::,227,100,0.0023428872214596086
left,a,left.a.01,left%3:00:00::,29764,27431,0.8915915286223527
left,a,left.a.04,left%3:00:02::,2137,1780,0.0640146182188539
left,a,left.s.03,left%5:00:00:left-handed:00,797,169,0.023874427103615613
left,a,leftover.s.01,left%5:00:00:unexhausted:00,685,463,0.020519426055177786
left,n,left.n.01,left%1:15:00::,5461,5162,0.8049823113207547
left,n,left.n.02,left%1:14:00::,1015,962,0.14961674528301888
left,n,left.n.03,left%1:08:00::,167,105,0.024616745283018868
left,n,left.n.05,left%1:04:00::,96,65,0.014150943396226415
left,r,left.r.01,left%4:02:03::,2286,2286,1.0
let,n,let.n.02,let%1:04:00::,831,31,0.45286103542234335
let,v,let.v.01,let%2:41:00::,94336,88464,0.9991209396413857
let,v,lease.v.03,let%2:40:00::,40,36,0.00042364354632012626
like,a,like.a.01,like%3:00:00::,25476,11770,0.6819057815845825
like,a,alike.a.01,like%3:00:04::,11747,1078,0.3144271948608137
like,n,like.n.02,like%1:09:00::,1584,1033,0.5546218487394958
like,n,like.n.01,like%1:09:01::,1272,757,0.44537815126050423
like,v,wish.v.02,like%2:37:01::,35761,32031,0.4799554416245017
like,v,like.v.02,like%2:37:05::,32185,19343,0.4319612395817955
like,v,like.v.03,like%2:37:04::,4746,2556,0.06369700304661181
like,v,like.v.05,like%2:37:06::,1763,431,0.023661571085372236
make,n,brand.n.02,make%1:09:00::,1335,849,0.8022836538461539
make,n,shuffle.n.01,make%1:04:00::,329,66,0.19771634615384615
make,v,make.v.02,make%2:30:00::,33159,24690,0.3420216606498195
make,v,make.v.01,make%2:41:00::,31569,23391,0.32562145435791645
make,v,make.v.03,make%2:36:00::,18153,4425,0.18724084579680247
make,v,produce.v.02,make%2:36:01::,4866,1640,0.050190820010314594
make,v,induce.v.02,make%2:32:00::,2416,694,0.024920061887570913
make,v,form.v.02,make%2:42:05::,1416,123,0.014605466735430634
make,v,gain.v.08,make%2:40:01::,1414,1152,0.014584837545126354
make,v,create.v.05,make%2:36:09::,452,32,0.004662197008767406
make,v,make.v.08,make%2:36:15::,283,66,0.002919030428055699
make,v,have.v.17,make%2:40:02::,110,44,0.0011346054667354306
make,v,name.v.03,make%2:41:03::,106,45,0.0010933470861268695
model,a,exemplary.s.01,model%5:00:00:worthy:00,269,269,1.0
model,n,model.n.01,model%1:09:00::,66549,59213,0.7038498149127446
model,n,model.n.04,model%1:06:00::,12643,2095,0.13371760973030142
model,n,model.n.02,model%1:09:03::,10464,6737,0.11067160232681121
model,n,model.n.03,model%1:18:00::,1185,470,0.012533051295610787
model,n,mannequin.n.01,model%1:18:02::,646,256,0.0068323638286620835
model,n,model.n.06,model%1:18:01::,591,33,0.006250661025912216
model,v,model.v.06,model%2:36:01::,3694,101,0.3726419852718652
model,v,model.v.01,model%2:36:02::,2637,365,0.2660143246242308
model,v,model.v.04,model%2:39:00::,157,73,0.015837788762231412
more,a,more.a.01,more%3:00:01::,58135,38139,0.5986325208777403
more,a,more.a.02,more%3:00:02::,38978,25830,0.4013674791222596
more,n,more.n.01,more%1:18:00::,165,165,1.0
more,r,more.r.01,more%4:02:00::,93751,89883,0.9592367115158337
more,r,more.r.02,more%4:02:01::,3984,1187,0.04076328848416637
most,a,most.a.01,most%3:00:02::,72720,55697,0.7430112800392349
most,a,most.a.02,most%3:00:01::,25152,11282,0.25698871996076506
most,r,most.r.01,most%4:02:00::,73314,62962,0.7550127184536009
most,r,most.r.02,most%4:02:01::,22496,11726,0.23167152405178007
most,r,about.r.07,most%4:02:02::,1293,76,0.013315757494619116
much,a,much.a.01,much%3:00:00::,70958,70958,1.0
much,n,much.n.01,much%1:23:00::,331,331,1.0
much,r,much.r.01,much%4:02:00::,83656,59051,0.874175783984869
much,r,much.r.02,much%4:02:03::,9028,3671,0.09433942547833266
much,r,much.r.05,much%4:02:06::,1754,358,0.01832868323980898
name,n,name.n.01,name%1:10:00::,72233,70818,0.9697266673826657
name,n,name.n.04,name%1:18:00::,636,436,0.008538288046396735
name,n,name.n.05,name%1:04:00::,632,123,0.00848458812157663
name,n,name.n.02,name%1:26:00::,575,383,0.00771936419289013
name,n,name.n.06,name%1:10:01::,273,173,0.0036650198689721835
name,v,name.v.01,name%2:32:03::,27105,22338,0.7094992539852891
name,v,name.v.02,name%2:32:02::,5098,32,0.13344501740700992
name,v,appoint.v.01,name%2:41:00::,1701,40,0.04452529906028323
need,n,need.n.01,need%1:26:00::,55529,39360,0.8072366221343529
need,n,need.n.02,need%1:17:00::,12761,3005,0.18550931108171365
need,v,necessitate.v.01,need%2:42:00::,73244,48536,0.7754462489677515
need,v,want.v.02,need%2:34:00::,21203,6333,0.22447964088339298
new,a,new.a.01,new%3:00:00::,56802,25317,0.6477960882705138
new,a,fresh.s.04,new%5:00:00:original:00,28649,1250,0.3267263500028511
new,a,modern.s.05,new%5:00:01:late:01,1537,85,0.01752865370359811
new,r,newly.r.01,new%4:02:00::,299,299,1.0
now,r,nowadays.r.01,now%4:02:00::,53734,12751,0.5690834763084874
now,r,now.r.01,now%4:02:05::,33631,1289,0.3561775857321387
now,r,now.r.03,now%4:02:02::,4260,1742,0.04511660418122895
now,r,immediately.r.01,now%4:02:01::,1967,127,0.02083200948931393
number,n,number.n.01,number%1:07:00::,56395,31065,0.6222759221865448
number,n,number.n.02,number%1:23:00::,26486,19217,0.2922528606265241
number,n,number.n.08,number%1:10:02::,3575,2483,0.039447405298641686
number,n,phone_number.n.01,number%1:10:03::,2871,2551,0.03167930087060147
number,n,numeral.n.01,number%1:10:01::,441,103,0.004866099506769506
number,n,issue.n.02,number%1:10:00::,350,161,0.003861983735531354
number,n,number.n.11,number%1:06:00::,281,57,0.0031006212276694584
number,n,act.n.04,number%1:10:04::,214,167,0.0023613271982963133
number,v,number.v.02,number%2:32:03::,1349,875,0.6360207449316361
number,v,total.v.01,number%2:42:00::,549,414,0.25884016973125884
number,v,count.v.05,number%2:42:01::,72,35,0.033946251768033946
one,n,one.n.01,one%1:23:00::,58742,48332,0.6396959533040031
one,n,one.n.02,one%1:09:00::,33086,27445,0.36030404669599686
only,a,alone.s.03,only%5:00:00:exclusive:00,55695,25916,0.8918763111118229
only,a,lone.s.03,only%5:00:00:single:05,6752,249,0.10812368888817718
only,r,merely.r.01,only%4:02:02::,64828,45438,0.6811381020425318
only,r,entirely.r.02,only%4:02:01::,29234,10521,0.30715726653778264
order,n,order.n.13,order%1:10:04::,20957,1057,0.22345790904728902
order,n,decree.n.01,order%1:10:00::,18404,15527,0.19623607186650316
order,n,ordering.n.01,order%1:14:00::,17000,10765,0.18126566081996054
order,n,order.n.15,order%1:04:00::,11510,513,0.12272751506104387
order,n,order.n.02,order%1:07:01::,10121,8670,0.10791704430346004
order,n,order.n.01,order%1:10:03::,4192,1493,0.04469797942101615
order,n,order.n.07,order%1:10:01::,3974,1346,0.042373513888148424
order,n,orderliness.n.02,order%1:26:02::,3904,360,0.04162712587300741
order,n,order.n.03,order%1:26:00::,2469,680,0.026326171562616622
order,n,order.n.11,order%1:14:03::,460,302,0.004904835528069521
order,n,club.n.02,order%1:14:02::,308,69,0.003284107266620462
order,n,order.n.12,order%1:14:01::,283,267,0.003017540118355814
order,v,order.v.01,order%2:32:01::,14141,6164,0.47365600401942726
order,v,order.v.02,order%2:32:00::,8030,6936,0.2689666722492045
order,v,order.v.06,order%2:30:01::,3469,1376,0.11619494222073355
order,v,order.v.05,order%2:30:00::,1662,113,0.05566906715793
order,v,rate.v.01,order%2:31:00::,432,98,0.01446993803383018
other,a,other.a.01,other%3:00:00::,95549,95245,0.996526981080912
other,a,other.s.02,other%5:00:00:past:00,300,281,0.0031288458730522935
out,a,out.s.08,out%5:00:00:exterior:00,596,31,0.34772462077012833
out,n,out.n.01,out%1:04:00::,5789,5789,1.0
out,r,away.r.02,out%4:02:03::,17733,5032,0.6138960049851139
out,r,out.r.01,out%4:02:02::,6298,1455,0.21802949525721804
out,r,out.r.02,out%4:02:04::,4855,98,0.16807449975766808
out,v,out.v.02,out%2:32:01::,177,59,0.6531365313653137
over,a,complete.s.05,over%5:00:01:finished:01,145,145,1.0
over,n,over.n.01,over%1:28:00::,2206,2206,1.0
over,r,over.r.03,over%4:02:00::,9796,6779,0.5113802463979954
over,r,over.r.01,over%4:02:01::,3676,2168,0.19189809981206932
over,r,over.r.02,over%4:02:02::,3636,149,0.18980998120693254
over,r,all_over.r.01,over%4:02:05::,1745,40,0.09109417414909167
part,n,part.n.01,part%1:24:00::,65403,51067,0.6883294568340402
part,n,part.n.02,part%1:06:00::,14382,10010,0.1513623877832388
part,n,region.n.01,part%1:15:00::,4410,2182,0.046412747192607635
part,n,function.n.03,part%1:04:01::,3231,923,0.03400444131050233
part,n,part.n.04,part%1:09:02::,3148,2402,0.03313091341549407
part,n,part.n.03,part%1:17:00::,2491,661,0.02621636128271783
part,n,character.n.04,part%1:09:01::,602,498,0.006335708346927392
part,n,share.n.01,part%1:21:00::,599,86,0.006304135049517455
part,n,part.n.11,part%1:10:00::,320,232,0.003367818390393298
part,v,separate.v.02,part%2:35:01::,401,43,0.3265472312703583
people,n,people.n.01,people%1:14:00::,95699,91319,0.9951645106276777
public,a,public.a.01,public%3:00:00::,65601,58497,0.938122068413225
public,a,public.s.02,public%5:00:00:common:02,4327,69,0.061877931586774966
public,n,populace.n.01,public%1:14:00::,17235,14309,0.9339438604096673
public,n,public.n.02,public%1:14:01::,1219,49,0.06605613959033271
return,n,restitution.n.03,return%1:04:02::,48134,29815,0.7475848787003386
return,n,return.n.05,return%1:04:00::,7988,997,0.12406423756717298
return,n,tax_return.n.01,return%1:10:01::,2400,2282,0.03727518404622123
return,n,return.n.06,return%1:21:00::,2026,1610,0.031466467865685084
return,n,return.n.02,return%1:04:01::,1768,720,0.027459385580716304
return,n,reappearance.n.02,return%1:04:07::,780,74,0.0121144348150219
return,n,return.n.10,return%1:04:06::,374,40,0.005808716180536142
return,n,return.n.12,return%1:04:05::,359,276,0.005575746280247259
return,v,return.v.07,return%2:35:01::,26969,10774,0.410231058243714
return,v,render.v.07,return%2:40:08::,17676,7118,0.26887330585175157
return,v,return.v.01,return%2:38:00::,13485,10245,0.20512313472566587
return,v,render.v.04,return%2:36:00::,2598,181,0.03951871739097367
return,v,revert.v.01,return%2:30:00::,2331,332,0.03545732495702834
return,v,retort.v.01,return%2:32:01::,1159,163,0.017629789628998645
return,v,render.v.05,return%2:32:03::,558,185,0.008487853850717209
return,v,return.v.05,return%2:38:12::,410,49,0.0062365951232868375
return,v,reelect.v.01,return%2:41:00::,90,47,0.0013690086855995497
right,a,right.a.01,right%3:00:00::,29832,21401,0.3763672836001665
right,a,correct.s.02,right%5:00:01:proper:00,21043,3124,0.26548326457489624
right,a,correct.a.01,right%3:00:02::,13640,6943,0.1720853361593682
right,a,right.a.04,right%3:00:01::,5007,782,0.06316944854471822
right,a,right.a.07,right%3:00:03::,2527,2149,0.031881205606651274
right,a,right.s.11,right%5:00:00:perpendicular:00,1970,303,0.02485396717257737
right,a,proper.s.04,right%5:00:00:appropriate:00,1436,30,0.01811690195930005
right,a,right.s.12,right%5:00:00:outside:00,396,31,0.004996025888497786
right,a,right.s.09,right%5:00:00:right-handed:00,283,56,0.003570392238497155
right,n,right.n.01,right%1:07:00::,74679,72110,0.821361401656383
right,n,right.n.02,right%1:15:00::,10265,9512,0.11290021007248051
right,n,right.n.07,right%1:07:01::,3993,1711,0.04391724684066387
right,n,right.n.04,right%1:14:00::,1441,1233,0.01584892379098338
right,n,right.n.05,right%1:08:00::,381,257,0.00419045105091233
right,n,right.n.06,right%1:04:00::,92,52,0.0010118674453646573
right,n,right_field.n.01,right%1:06:00::,70,54,0.0007698991432122392
right,r,right.r.02,right%4:02:08::,18829,12356,0.4473509147065811
right,r,right.r.04,right%4:02:03::,5011,2875,0.1190544072226182
right,r,right.r.07,right%4:02:07::,1694,84,0.04024708956996911
right,r,properly.r.01,right%4:02:01::,1509,441,0.035851746258018534
right,r,justly.r.02,right%4:02:05::,1498,353,0.0355904015205512
right,r,right.r.06,right%4:02:00::,1139,106,0.027061059634117368
said,a,aforesaid.s.01,said%5:00:00:same:02,722,722,1.0
same,a,same.a.01,same%3:00:02::,76132,48080,0.7996386858247206
same,a,same.a.02,same%3:00:00::,12794,649,0.13437946391059574
same,a,like.a.02,same%3:00:04::,4301,769,0.045174775228972355
same,a,same.s.04,same%5:00:00:unchanged:00,1981,327,0.020807075035711286
second,a,second.s.01,second%5:00:00:ordinal:00,92566,92484,0.9997947831722201
second,n,second.n.01,second%1:28:00::,18771,17992,0.8845066440486288
second,n,second.n.05,second%1:24:00::,2090,1907,0.09848270662520027
second,r,second.r.01,second%4:02:00::,16828,16828,1.0
second,v,second.v.01,second%2:41:00::,275,233,0.8208955223880597
second,v,second.v.02,second%2:41:01::,60,36,0.1791044776119403
see,n,see.n.01,see%1:15:00::,1197,1197,1.0
see,v,see.v.01,see%2:39:00::,56764,25172,0.5906456479891785
see,v,understand.v.02,see%2:31:01::,12032,4505,0.1251963997710837
see,v,witness.v.02,see%2:39:02::,11672,5355,0.12145049685240102
see,v,learn.v.02,see%2:31:02::,6549,116,0.06814421726236929
see,v,see.v.05,see%2:31:00::,3554,2774,0.036980386036106344
see,v,watch.v.03,see%2:39:03::,1637,946,0.017033452994121012
see,v,visualize.v.01,see%2:36:00::,1050,450,0.010925550179491181
