sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
about.r.07,200,400,0.49874686716791977,0.661,0.3236950000000001,0.633,0.2678350000000001,0.60525,0.21247375,0.5813,0.16469350000000013,0,1,about,r,1372,438,0.0209130401646216,-1.6795828284570529
approximately.r.01,200,400,0.49874686716791977,0.597,0.19601500000000002,0.5805,0.1630975000000001,0.5685,0.13915750000000007,0.5495,0.10125250000000004,0,1,about,r,62373,61729,0.95073546223611,-0.02194030669356401
ahead.r.01,200,400,0.49874686716791977,0.806,0.6129700000000002,0.797,0.5950150000000002,0.795,0.5910250000000001,0.7711,0.5433445000000001,0,1,before,r,1289,879,0.0477672781174726,-1.3208695050478303
earlier.r.01,200,400,0.49874686716791977,0.808,0.6169600000000002,0.791,0.5830450000000001,0.786,0.5730700000000002,0.7684,0.537958,0,1,before,r,25696,25264,0.9522327218825272,-0.021256898802645766
being.n.01,200,400,0.49874686716791977,0.847,0.6947650000000001,0.8265,0.6538675000000002,0.7995,0.6000025000000001,0.7913,0.5836435000000001,0,1,being,n,5486,5235,0.455458696554587,-0.34155100106585157
organism.n.01,200,400,0.49874686716791977,0.838,0.67681,0.838,0.67681,0.82375,0.64838125,0.8,0.6010000000000002,0,1,being,n,6559,6369,0.5445413034454131,-0.26396917343232706
case.n.01,200,1600,0.12445278298936835,0.396,0.3101457142857143,0.396,0.3101457142857143,0.35925,0.2681719642857143,0.2604,0.15527114285714289,0,1,case,n,42881,22564,0.482975727881962,-0.3160746943246796
case.n.04,200,1600,0.12445278298936835,0.728,0.6893371428571429,0.679,0.6333721428571429,0.62,0.5659857142857143,0.5236,0.4558831428571428,0,1,case,n,5502,1101,0.0619699273525933,-1.2078190129738704
case.n.05,200,1600,0.12445278298936835,0.262,0.15709857142857145,0.226,0.11598142857142858,0.2015,0.08799892857142859,0.1822,0.06595557142857143,0,1,case,n,808,417,0.0091006363687559,-2.0409282382529526
case.n.06,200,1600,0.12445278298936835,0.355,0.2633178571428571,0.3035,0.2044975,0.2465,0.13939535714285714,0.2118,0.09976299999999999,0,1,case,n,1268,349,0.0142816917272061,-1.8452203454818232
case.n.09,200,1600,0.12445278298936835,0.301,0.20164214285714285,0.284,0.18222571428571427,0.261,0.15595642857142858,0.2172,0.10593057142857144,0,1,case,n,1149,598,0.0129413752323027,-1.8880195703392515
lawsuit.n.01,200,1600,0.12445278298936835,0.284,0.18222571428571427,0.2735,0.1702332142857143,0.25875,0.15338660714285712,0.2301,0.12066421428571429,0,1,case,n,26556,23896,0.2991045784760939,-0.5241769390526522
shell.n.08,200,1600,0.12445278298936835,0.44,0.3604,0.385,0.29758214285714285,0.34325,0.24989767857142858,0.2828,0.18085514285714285,0,1,case,n,567,218,0.0063862138874809,-2.1947565401346347
subject.n.06,200,1600,0.12445278298936835,0.285,0.1833678571428571,0.2465,0.13939535714285714,0.20525,0.09228196428571428,0.1674,0.04905185714285714,0,1,case,n,1771,739,0.0199470631300332,-1.7001210378374607
